trip_id,window_index,ground_truth,raw_prediction,final_prediction,transit_candidate,matched_subway_line,bus_context_score,subway_context_score
trip_000001,0,walk,walk,walk,,6,0.5234868883434408,0.34601707383719643
trip_000001,1,walk,walk,walk,,6,0.5008792939285038,0.3767232158980195
trip_000001,2,walk,walk,walk,,6,0.4843605548573653,0.3812612591832948
trip_000001,3,walk,walk,walk,,6,0.36432449090589825,0.3689406219137244
trip_000001,4,walk,walk,walk,,6,0.368237063451041,0.446546758008431
trip_000001,5,walk,walk,walk,,6,0.4565877860282927,0.5206258440132878
trip_000001,6,walk,walk,walk,,6,0.4254244193612973,0.6016478322525574
trip_000001,7,walk,walk,walk,,6,0.39827520008639816,0.6289762263470756
trip_000001,8,walk,walk,walk,,6,0.3798349619608745,0.6179165803955733
trip_000001,9,walk,walk,walk,,6,0.37606816614985555,0.5433074265096929
trip_000001,10,walk,walk,walk,,6,0.41897379627226683,0.5848516822747767
trip_000001,11,walk,walk,walk,,6,0.4072886981177902,0.6799933745713085
trip_000001,12,walk,walk,walk,,6,0.3929710931418256,0.7825777003326908
trip_000001,13,walk,walk,walk,,6,0.29064218490368715,0.7973843991374265
trip_000001,14,walk,walk,walk,,6,0.2712305766292742,0.712491841201827
trip_000001,15,walk,walk,walk,,6,0.42806365988857253,0.6511688373432838
trip_000001,16,walk,walk,walk,,6,0.43919952302881565,0.5944289288495975
trip_000001,17,walk,walk,walk,,6,0.3623220739516258,0.49927411549371337
trip_000001,18,walk,walk,walk,,6,0.5127902657980903,0.5037473817736777
trip_000001,19,walk,walk,walk,,6,0.5210344003587006,0.5508529675668461
trip_000001,20,walk,walk,walk,,6,0.2560620758498986,0.5675685606972708
trip_000001,21,walk,walk,walk,,6,0.435788156771542,0.5548817518658429
trip_000001,22,walk,walk,walk,,6,0.46130667470945674,0.48161220098623625
trip_000001,23,walk,walk,walk,,6,0.46388812730732687,0.46655888508747784
trip_000001,24,walk,walk,walk,,6,0.4677654970170293,0.45
